img url,img path,duration (day),price ($),size,color,background,like,artist rate,completed
https://d9jhi50qo719s.cloudfront.net/f3e/samples/ji1_800.png,anime/img-47.png,1-3 week,5,full body,1,0,0,0,0
https://d9jhi50qo719s.cloudfront.net/afx/samples/ebu_800.JPG,anime/img-48.JPG,1-3 d,5,,1,1,0,0,0
https://d9jhi50qo719s.cloudfront.net/5h1/samples/7gn_800.png,anime/img-49.png,1-2 week,5,bust up,1,0,0,0,0
https://d9jhi50qo719s.cloudfront.net/5hy/samples/7ga_800.png,anime/img-50.png,1-2 d,5,bust up,1,0,0,0,0
https://d9jhi50qo719s.cloudfront.net/4wj/samples/6nu_800.jpg,anime/img-51.jpg,2 week,5,,1,1,0,0,0
https://d9jhi50qo719s.cloudfront.net/3xd/samples/669_800.img002,anime/img-52.img002,1-5 d,5,,1,1,0,0,0
https://d9jhi50qo719s.cloudfront.net/16xp/samples/1eqg_800.jpeg,anime/img-53.jpeg,7,5,"half body, full body, bust up",1,1,0,0,0
https://d9jhi50qo719s.cloudfront.net/18a1/samples/1gn9_800.jpg,anime/img-54.jpg,1,5,,0,0,0,5,1
https://d9jhi50qo719s.cloudfront.net/13b0/samples/1b0h_800.jpg,anime/img-55.jpg,3,5,bust up,0,0,0,5,15
https://d9jhi50qo719s.cloudfront.net/19u7/samples/1jfi_800.png,anime/img-56.png,5,5,full body,1,0,0,0,0
https://d9jhi50qo719s.cloudfront.net/136c/samples/1lim_800.jpg,anime/img-57.jpg,4,5,,0,0,0,0,0
https://d9jhi50qo719s.cloudfront.net/18yh/samples/1hw1_800.jpg,anime/img-58.jpg,2,5,,1,1,0,0,0
https://d9jhi50qo719s.cloudfront.net/17ux/samples/1seu_800.png,anime/img-59.png,3,5,half body,1,0,0,5,1
https://d9jhi50qo719s.cloudfront.net/17ux/samples/1se9_800.jpg,anime/img-60.jpg,3,5,full body,0,0,0,5,1
https://d9jhi50qo719s.cloudfront.net/1frd/samples/1sqe_800.png,anime/img-61.png,5,5,"full body, bust up",1,0,0,0,0
https://d9jhi50qo719s.cloudfront.net/k7j/samples/1sse_800.jpg,anime/img-62.jpg,5,5,bust up,1,1,0,5,4
https://d9jhi50qo719s.cloudfront.net/tit/samples/141c_800.jpg,anime/img-63.jpg,6,5,"half body, full body, bust up",1,1,0,0,0
img url,img path,duration (day),price ($),size,color,background,like,artist rate,completed
https://d9jhi50qo719s.cloudfront.net/1b10/samples/1n1g_800.jpg,anime/img-10816.jpg,6,200,full body,1,1,0,0,0
https://d9jhi50qo719s.cloudfront.net/1e0u/samples/1rvx_800.jpg,anime/img-10817.jpg,3,200,full body,1,1,0,5,1
https://d9jhi50qo719s.cloudfront.net/lts/samples/1nh9_800.jpg,anime/img-10818.jpg,30,200,,1,1,1,5,28
https://d9jhi50qo719s.cloudfront.net/1g9b/samples/1r7d_800.jpg,anime/img-10819.jpg,7,200,,1,1,0,0,0
https://d9jhi50qo719s.cloudfront.net/140t/samples/1f0b_800.jpg,anime/img-10820.jpg,5,200,full body,1,1,0,0,0
https://d9jhi50qo719s.cloudfront.net/1h5i/samples/1spc_800.jpg,anime/img-10821.jpg,14,200,full body,1,1,0,0,0
https://d9jhi50qo719s.cloudfront.net/iil/samples/ogp_800.png,anime/img-10822.png,60,200,,1,0,1,5,21
https://d9jhi50qo719s.cloudfront.net/a3f/samples/e0k_800.png,anime/img-10823.png,5,215,full body,1,0,3,5,6
https://d9jhi50qo719s.cloudfront.net/xmu/samples/17vf_800.jpg,anime/img-10824.jpg,8,225,full body,1,1,0,5,1
https://d9jhi50qo719s.cloudfront.net/1ghi/samples/1rqo_800.jpg,anime/img-10825.jpg,7,230,"chibi, full body",1,1,1,5,1
https://d9jhi50qo719s.cloudfront.net/5n1/samples/1kg6_800.jpeg,anime/img-10826.jpeg,10,245,,1,1,0,5,55
https://d9jhi50qo719s.cloudfront.net/5b9/samples/783_800.jpg,anime/img-10827.jpg,50,249,half body,1,1,0,5,89
https://d9jhi50qo719s.cloudfront.net/euu/samples/j9x_800.png,anime/img-10828.png,8 Workhour,250,full body,1,0,0,0,0
https://d9jhi50qo719s.cloudfront.net/15ig/samples/1cta_800.png,anime/img-10829.png,12,250,"half body, full body",1,0,0,0,0
https://d9jhi50qo719s.cloudfront.net/9dn/samples/ct8_800.png,anime/img-10830.png,1-1.5 week,250,,1,0,0,5,1
https://d9jhi50qo719s.cloudfront.net/fad/samples/jrm_800.jpg,anime/img-10831.jpg,1-2 week,250,,0,0,0,5,1
https://d9jhi50qo719s.cloudfront.net/11o/samples/19g_800.gif,anime/img-10832.gif,7,250,,0,0,0,5,3
https://d9jhi50qo719s.cloudfront.net/9jc/samples/kt5_800.jpg,anime/img-10833.jpg,4,250,full body,1,1,0,5,39
https://d9jhi50qo719s.cloudfront.net/igs/samples/10ma_800.jpg,anime/img-10834.jpg,20,259,,1,1,0,5,17
https://d9jhi50qo719s.cloudfront.net/a3c/samples/1m19_800.jpg,anime/img-10835.jpg,12,260,"half body, full body",1,1,0,5,16
https://d9jhi50qo719s.cloudfront.net/5b9/samples/784_800.jpg,anime/img-10836.jpg,50,273,full body,1,1,11,5,89
https://d9jhi50qo719s.cloudfront.net/1lf/samples/202_800.jpg,anime/img-10837.jpg,15,275,,1,1,24,5,25
https://d9jhi50qo719s.cloudfront.net/wp3/samples/13q8_800.jpg,anime/img-10838.jpg,10,280,full body,1,1,0,0,0
https://d9jhi50qo719s.cloudfront.net/a2f/samples/dsf_800.png,anime/img-10839.png,2-4 week(s),280,full body,1,0,0,5,2
https://d9jhi50qo719s.cloudfront.net/2bt/samples/1sgx_800.jpg,anime/img-10840.jpg,14,280,,1,1,0,5,51
